sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,44,22.26241473,23.17440718,9.41475084,8.96562400,-12.84766389,-14.20878318,1.36111929,False,True
lan_parasitic_gap,45,22.26241473,23.17440718,19.27644860,20.03035919,-2.98596613,-3.14404799,0.15808186,False,True
lan_parasitic_gap,46,22.26241473,22.90493195,2.63413608,4.62084257,-19.62827865,-18.28408938,-1.34418927,False,False
lan_parasitic_gap,47,22.26241473,22.90493195,9.41475084,8.57077857,-12.84766389,-14.33415338,1.48648949,False,True
lan_parasitic_gap,48,22.26241473,22.90493195,19.27644860,18.04334974,-2.98596613,-4.86158221,1.87561608,False,True
lan_parasitic_gap,49,21.93456949,22.55431233,4.00312095,6.75017245,-17.93144854,-15.80413988,-2.12730866,False,False
lan_parasitic_gap,50,21.93456949,22.55431233,9.97076407,9.82017123,-11.96380542,-12.73414110,0.77033568,False,True
lan_parasitic_gap,51,21.93456949,22.55431233,19.03421145,17.28856343,-2.90035804,-5.26574890,2.36539086,False,True
lan_parasitic_gap,52,21.93456949,21.99728489,4.00312095,5.79443892,-17.93144854,-16.20284597,-1.72860257,False,False
lan_parasitic_gap,53,21.93456949,21.99728489,9.97076407,9.91952675,-11.96380542,-12.07775814,0.11395272,False,True
lan_parasitic_gap,54,21.93456949,21.99728489,19.03421145,19.39868527,-2.90035804,-2.59859962,-0.30175842,False,False
lan_parasitic_gap,55,22.95854971,23.11933951,9.97076407,9.82017123,-12.98778564,-13.29916828,0.31138264,False,True
lan_parasitic_gap,56,22.95854971,23.11933951,19.03421145,17.28856343,-3.92433826,-5.83077608,1.90643782,False,True
lan_parasitic_gap,57,22.95854971,23.11933951,4.00312095,6.75017245,-18.95542876,-16.36916706,-2.58626170,False,False
lan_parasitic_gap,58,22.95854971,23.15855918,9.97076407,9.91952675,-12.98778564,-13.23903243,0.25124679,False,True
lan_parasitic_gap,59,22.95854971,23.15855918,19.03421145,19.39868527,-3.92433826,-3.75987391,-0.16446435,False,False
lan_parasitic_gap,60,22.95854971,23.15855918,4.00312095,5.79443892,-18.95542876,-17.36412026,-1.59130850,False,False
lan_parasitic_gap,61,21.21007257,20.86534347,20.03547499,20.78356431,-1.17459758,-0.08177916,-1.09281842,False,False
lan_parasitic_gap,62,21.21007257,20.86534347,2.55816521,4.27683050,-18.65190736,-16.58851297,-2.06339439,False,False
