sentence_type,item_id,fillertype_effect_plus_gap,fillertype_effect_minus_gap
lan_parasitic_gap,1101,-1.87193866,-2.84289694
lan_parasitic_gap,1102,-1.71639738,2.93023770
lan_parasitic_gap,1103,-1.71639738,0.30043547
lan_parasitic_gap,1104,-1.71639738,-3.22854808
lan_parasitic_gap,1105,-2.09831771,1.22591424
lan_parasitic_gap,1106,-2.09831771,-2.74422093
lan_parasitic_gap,1107,-2.09831771,2.31784251
lan_parasitic_gap,1108,-1.81090977,0.74354482
lan_parasitic_gap,1109,-1.81090977,-2.55994982
lan_parasitic_gap,111,-0.54530699,1.15769929
lan_parasitic_gap,1110,-1.81090977,-0.16840435
lan_parasitic_gap,1111,-1.61470180,-0.16840435
lan_parasitic_gap,1112,-1.61470180,0.74354482
lan_parasitic_gap,1113,-1.61470180,-2.55994982
lan_parasitic_gap,1114,-1.52633673,2.31784251
lan_parasitic_gap,1115,-1.52633673,1.22591424
lan_parasitic_gap,1116,-1.52633673,-2.74422093
lan_parasitic_gap,1117,-1.46650961,0.26490622
lan_parasitic_gap,1118,-1.46650961,2.56415816
lan_parasitic_gap,1119,-1.46650961,-2.98469367
lan_parasitic_gap,112,-0.74470331,0.36362840
lan_parasitic_gap,1120,-1.47197598,-0.43114653
lan_parasitic_gap,1121,-1.47197598,-0.06121788
lan_parasitic_gap,1122,-1.47197598,-2.76517608
lan_parasitic_gap,1123,-0.69544826,-0.06121788
lan_parasitic_gap,1124,-0.69544826,-2.76517608
lan_parasitic_gap,1125,-0.69544826,-0.43114653
lan_parasitic_gap,1126,-0.27215865,2.56415816
lan_parasitic_gap,1127,-0.27215865,-2.98469367
lan_parasitic_gap,1128,-0.27215865,0.26490622
lan_parasitic_gap,1129,-3.08442429,3.06364226
lan_parasitic_gap,113,-0.74470331,-0.65939819
lan_parasitic_gap,1130,-3.08442429,-0.54612211
lan_parasitic_gap,1131,-3.08442429,-3.90400347
lan_parasitic_gap,1132,-3.00843754,0.47456010
lan_parasitic_gap,1133,-3.00843754,-0.96213044
lan_parasitic_gap,1134,-3.00843754,-3.48461924
lan_parasitic_gap,1135,-2.25661742,-0.96213044
lan_parasitic_gap,1136,-2.25661742,0.47456010
lan_parasitic_gap,1137,-2.25661742,-3.48461924
lan_parasitic_gap,1138,-1.88726296,-0.54612211
lan_parasitic_gap,1139,-1.88726296,3.06364226
lan_parasitic_gap,114,-0.74470331,-0.88086920
lan_parasitic_gap,1140,-1.88726296,-3.90400347
lan_parasitic_gap,1141,-2.09321633,-0.68113817
lan_parasitic_gap,1142,-2.09321633,-0.49279000
lan_parasitic_gap,1143,-2.09321633,-4.27449766
lan_parasitic_gap,1144,-2.32756339,-0.13668670
lan_parasitic_gap,1145,-2.32756339,2.31454883
lan_parasitic_gap,1146,-2.32756339,-4.32608699
lan_parasitic_gap,1147,-2.07395347,-4.27449766
