sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP
lan_parasitic_gap,433,24.99940920,25.65096057,20.33487605,20.43192903
lan_parasitic_gap,434,24.99940920,25.65096057,3.95509940,5.68935301
lan_parasitic_gap,435,24.99940920,25.65096057,7.30478770,7.81267695
lan_parasitic_gap,436,24.99940920,25.73406269,20.33487605,18.57873675
lan_parasitic_gap,437,24.99940920,25.73406269,3.95509940,6.09179424
lan_parasitic_gap,438,24.99940920,25.73406269,7.30478770,7.53447052
lan_parasitic_gap,439,26.71826348,26.50647729,20.33487605,18.57873675
lan_parasitic_gap,440,26.71826348,26.50647729,7.30478770,7.53447052
lan_parasitic_gap,441,26.71826348,26.50647729,3.95509940,6.09179424
lan_parasitic_gap,442,26.71826348,26.74528660,20.33487605,20.43192903
lan_parasitic_gap,443,26.71826348,26.74528660,7.30478770,7.81267695
lan_parasitic_gap,444,26.71826348,26.74528660,3.95509940,5.68935301
lan_parasitic_gap,445,24.35043447,25.57610634,7.98637887,8.21362210
lan_parasitic_gap,446,24.35043447,25.57610634,19.18393290,17.48010573
lan_parasitic_gap,447,24.35043447,25.57610634,5.51657874,7.84662933
lan_parasitic_gap,448,24.35043447,25.47514221,7.98637887,8.40001541
lan_parasitic_gap,449,24.35043447,25.47514221,19.18393290,19.79911105
lan_parasitic_gap,450,24.35043447,25.47514221,5.51657874,7.45314725
lan_parasitic_gap,451,26.83616196,27.35968425,19.18393290,19.79911105
lan_parasitic_gap,452,26.83616196,27.35968425,7.98637887,8.40001541
lan_parasitic_gap,453,26.83616196,27.35968425,5.51657874,7.45314725
lan_parasitic_gap,454,26.83616196,27.19036091,19.18393290,17.48010573
lan_parasitic_gap,455,26.83616196,27.19036091,7.98637887,8.21362210
lan_parasitic_gap,456,26.83616196,27.19036091,5.51657874,7.84662933
lan_parasitic_gap,457,22.84568912,23.66428727,7.06517770,7.33232442
lan_parasitic_gap,458,22.84568912,23.66428727,20.61052602,18.89232961
lan_parasitic_gap,459,22.84568912,23.66428727,4.42713335,6.27225086
lan_parasitic_gap,460,22.84568912,23.45589141,7.06517770,7.62262785
lan_parasitic_gap,461,22.84568912,23.45589141,20.61052602,21.57657482
lan_parasitic_gap,462,22.84568912,23.45589141,4.42713335,6.07065298
lan_parasitic_gap,463,26.89053714,27.40582741,4.42713335,6.07065298
lan_parasitic_gap,464,26.89053714,27.40582741,20.61052602,21.57657482
lan_parasitic_gap,465,26.89053714,27.40582741,7.06517770,7.62262785
lan_parasitic_gap,466,26.89053714,27.33010612,4.42713335,6.27225086
lan_parasitic_gap,467,26.89053714,27.33010612,20.61052602,18.89232961
lan_parasitic_gap,468,26.89053714,27.33010612,7.06517770,7.33232442
lan_parasitic_gap,469,23.10709536,24.87770056,19.57706297,20.11214125
lan_parasitic_gap,470,23.10709536,24.87770056,3.57388744,5.79906131
lan_parasitic_gap,471,23.10709536,24.87770056,10.83520818,11.05969730
lan_parasitic_gap,472,23.10709536,24.88454037,19.57706297,17.54312265
lan_parasitic_gap,473,23.10709536,24.88454037,3.57388744,6.10918593
lan_parasitic_gap,474,23.10709536,24.88454037,10.83520818,10.39902376
lan_parasitic_gap,475,23.37560255,24.70275503,3.57388744,5.79906131
lan_parasitic_gap,476,23.37560255,24.70275503,10.83520818,11.05969730
lan_parasitic_gap,477,23.37560255,24.70275503,19.57706297,20.11214125
lan_parasitic_gap,478,23.37560255,24.26437916,3.57388744,6.10918593
lan_parasitic_gap,479,23.37560255,24.26437916,10.83520818,10.39902376
lan_parasitic_gap,480,23.37560255,24.26437916,19.57706297,17.54312265
lan_parasitic_gap,481,22.02701883,24.74558287,5.62142227,9.15838826
lan_parasitic_gap,482,22.02701883,24.74558287,11.26351837,11.22478201
lan_parasitic_gap,483,22.02701883,24.74558287,19.08907426,16.52325988
lan_parasitic_gap,484,22.02701883,24.60954972,5.62142227,8.56038684
lan_parasitic_gap,485,22.02701883,24.60954972,11.26351837,11.66133575
lan_parasitic_gap,486,22.02701883,24.60954972,19.08907426,19.26422753
lan_parasitic_gap,487,22.42834341,24.40610807,5.62142227,9.15838826
lan_parasitic_gap,488,22.42834341,24.40610807,19.08907426,16.52325988
lan_parasitic_gap,489,22.42834341,24.40610807,11.26351837,11.22478201
lan_parasitic_gap,490,22.42834341,24.72399438,5.62142227,8.56038684
lan_parasitic_gap,491,22.42834341,24.72399438,19.08907426,19.26422753
lan_parasitic_gap,492,22.42834341,24.72399438,11.26351837,11.66133575
lan_parasitic_gap,493,21.34593549,22.57354490,3.84904689,7.13377640
lan_parasitic_gap,494,21.34593549,22.57354490,10.82815629,10.67411397
lan_parasitic_gap,495,21.34593549,22.57354490,20.04704973,20.82407518
lan_parasitic_gap,496,21.34593549,22.90394947,3.84904689,7.41007991
lan_parasitic_gap,497,21.34593549,22.90394947,10.82815629,10.03942048
lan_parasitic_gap,498,21.34593549,22.90394947,20.04704973,17.94929612
lan_parasitic_gap,499,23.75801339,25.11140417,20.04704973,20.82407518
lan_parasitic_gap,500,23.75801339,25.11140417,10.82815629,10.67411397
lan_parasitic_gap,501,23.75801339,25.11140417,3.84904689,7.13377640
lan_parasitic_gap,502,23.75801339,24.96461139,20.04704973,17.94929612
lan_parasitic_gap,503,23.75801339,24.96461139,10.82815629,10.03942048
lan_parasitic_gap,504,23.75801339,24.96461139,3.84904689,7.41007991
lan_parasitic_gap,505,24.03170996,25.72850110,9.85039713,9.20163160
