sentence_type,item_id,wh_effect_plus_gap,wh_effect_minus_gap
basic_subject,36,-0.30081490,5.67893387
basic_subject,37,0.88092690,0.31739868
basic_subject,38,-10.13857980,2.88633505
basic_subject,39,-6.23715297,6.57092191
basic_subject,4,-13.05213561,1.61513605
basic_subject,40,-11.73860218,-1.17158522
basic_subject,41,-1.10423012,5.76151517
basic_subject,42,-6.76303552,-0.20186044
basic_subject,43,-3.92609402,6.08137654
basic_subject,44,-8.87785909,5.70136922
basic_subject,45,-11.22034283,6.19613716
basic_subject,46,-5.59028603,8.29854347
basic_subject,47,2.31854077,3.81730760
basic_subject,48,-2.99006915,3.03756411
basic_subject,49,-9.29459309,6.54156308
basic_subject,5,-12.35202456,6.43303921
basic_subject,50,-9.42085777,6.11803975
basic_subject,6,-0.26601421,2.70011775
basic_subject,7,-1.42260263,4.61628077
basic_subject,8,-2.37967209,5.46569921
basic_subject,9,-6.18930599,-1.53966867
